tx_hash,block,token,amount,fee,gas_used,gas_price_gwei
0x1f12c10dfd3d4703c659503facab69bd0d3718386ee423f65718ab32b4c6b0da,20000201,USDT,135700121600,0,410255,5.029692353
0x82c293428c0a9ecc5404bf311148c2d7651c96a0ae58c2f9e199bcf9fe7b8e60,20000229,USDT,1111010415,12588072680426639226,1166694,4.945278631
0x82c293428c0a9ecc5404bf311148c2d7651c96a0ae58c2f9e199bcf9fe7b8e60,20000229,USDT,1111010415,0,1166694,4.945278631
0xbc3d546cef9d391063bfd531a1a7a3060c2f6bf8ea20b74f76b836efca13dd81,20000568,USDC,11319078748504,0,931362,4.510477764
0xa8c8582011e956a39d80838b15868844a3781be01d9b42fde1dacca504456dbc,20000574,USDC,11319078748504,0,935776,4.864689045
0x6db0f88b192426ba993c61068aeaf7c3941888112b9fb7c28e65365b85e0d9be,20001013,DAI,10469667732194888420969,0,1423184,4.076317546
0x97968e8dd80574a3eb5f75fd6008e550bfa877998b26140cd127fc9b96b19238,20001937,USDT,1082834882,0,410865,4.571561434
0x31d9305d41d2b105b297a2d18162f9f2a08ad30498786ce15c47d5f565c0bd88,20002108,USDT,536025994,0,345808,4.209085175
0xee5554476f431df30b3f269b03acc6280b1b4c50265f8b5ed596b543e36fb322,20002311,USDT,1453338838,0,355456,4.227861919
0xb94e7bf0ff61ce85604e600042edf70d25b10b19e82cd4ab5c21f23a77e07b3f,20002311,USDT,381903424,0,341880,4.227861919
0x0d66beec470c79145026ee5e36b42765aa16553adbf60244081df594f3aee29b,20003683,DAI,44155738698963371646984,0,1425178,6.51690763
0xf92d27f7c925448c07ecd6865555525938035994061f440a454429cba7534e8e,20004041,USDT,209790000000,0,426290,7.714706727
0xd8f1fedcb5bd5c914a2cc0566a01959fb3ad7dda2f71011877238a3ae58c5192,20004128,USDC,2685973515,0,483573,7.462339048
0xfa26d09bebf30aa66c6bd4f08e119c16971fb60c3ce87d9d3d5f36a04ccd427d,20004841,USDT,233016881807,0,419338,13.038540148
0xd42246cd1e510f925dd21aaa3c70fbabfbac7273c9bb72cf6c265a5e038ed625,20006525,USDC,2829736520,0,431112,13.215118062
0x04c3e2ae7bb1e84cdc9ec87b2e0d5b61a41fb8343359fea51e23767d3794ebe6,20006553,USDC,3362998300,0,433500,13.186112825
0x89c41d024bbaad70e0880c84e57dac00854bb27457a38640cdea4cbed35b828c,20006717,DAI,16424596875487445460605,0,1419102,12.28620278
0xa9d7de644edf0abecbf2911746daa12666bd7c51a7f8c78809b6e746426d8db2,20006936,USDC,11178185679,0,468059,8.232343078
0xc4de5d7a8844451e15361655014f73e0bbc876814a48de2451e4fb09ea1f3b79,20007153,USDC,205151599872,0,731868,10.551101744
0xbeeff251a74358f7ade70cdce134864e116717db15579d91363f5c5ae02fed9d,20007169,USDT,151424986952,0,1190265,6.366712477
0xe06d5bb15a0d933d36727729c151467a52f0788242ed7f4cec4e5fb403928ed3,20007189,DAI,307339883865322966482944,0,589803,18.048673398
0xfb11b754513374747fe8232130b256883366d27e44ff9987b5d364a76d683964,20007190,USDT,84591384576,0,511052,10.046398722
0xb36ee56af2613ec039b947cb3fd5fbc837ae09ed08ed46223e7fb3a2c8331cbd,20007390,USDC,754904428544,0,353064,10.197979743
0xb35d37f2e75af341699037945b9b8a8ff6ae475a3cb4dddfaa51822a7ee9fb6d,20007454,USDC,45421924651,0,543732,6.050738636
0xe307dc0bcc311e52a5acaf891c82145b23684eb8c3b12b80095d593f5dae9a32,20007478,USDC,162640722291,0,1550500,5.844651434
0xb009d54eba6b7f14701014527ecc51a9c98b0d5821dd1a48ef8995f4dd40a2e7,20007492,USDC,7764969847581,0,1123060,5.763202344
0x9daddde0a6f5662260db75cf6c25e494c44f9c8b1cadb8d4f7825d79472a14a1,20007753,DAI,79785889539020004355453,0,1420612,7.0
0x8f1395fc44df104708b445f4f322fc0c127c5892514a63058d2f5d9ccb864f3f,20008065,USDC,458188495158,0,757164,26.196400036
0x0adbc5a3d59b5dac4b32dc461f4f626922b1deb4fdc516dc3792b73cc2666b3c,20008071,USDC,409019365887,0,756126,16.166142374
0xccf9fb17c45f9ec9d576b08fcc86dce55e8e07951cfef27b4995e597194b9387,20008071,USDT,140078715000,0,414444,12.743082324
0xfafcc1e0a2b5362480bcb389fb99c7bab21d6612f5a86f5a7223b5329f94427c,20008220,USDC,231282717178,0,574789,15.554920781
0xb61fda13667fc7d53b1a6768c6861041bd4f3a3d295e641f062c06442afea439,20008237,USDC,153460107129,0,463942,24.439395005
0x6e3e9dd8a4e6484aa8f1addfa476391e8436b26333f0ee11b8c936036c701f3c,20008379,DAI,49008188066746714969555,0,1425224,9.668192506
0x4765bd91a99addceda3958522de9abda934ae2f74f4eb2faa1826f412cc5858f,20008611,DAI,48589798315876330214731,0,1337261,11.494294489
0x7159798d652ba0ab2245c7a9d96f4f91841411a3690085598a2123ad4ace240e,20008743,USDC,683559115329,0,306643,13.65322745
0x19ecd729ff7905d2b3bda86257cb56ce396414007774736f9c887339367619b3,20009058,USDT,113577336486,0,317685,9.384381052
0x76f41083a885dcdf2db7ab150d6776997e9b32b4e6f112a5bfe4cba34620f0fa,20010834,USDC,128051015095,0,448937,11.832646562
0xf68ada1a3fecf865a00fdb75736d4b274baa43043e094f24437388f628df4c87,20010843,USDC,54710742802,0,600287,10.733128186
0x6b0c0841033ecf98a95a729500261be609b834633e43ff26f69311a073f1dd3c,20010845,USDC,60582801054,0,422349,8.734518876
0xd1e570368dd28b3f71960b93fe366d58297e386f2c528afcb66b0e0245e441a9,20010901,USDC,1142813658,0,1278562,11.626553172
0xce02ef0735d118bab1889b7d1cdd9632d9a219e5859291627c614ff162852c67,20010980,USDC,424538483751,0,706191,9.422740049
0xf8684f75423fa88ca2372bcbd1b6c8eb1fbcba6db12083cb73cd8b553fcaf3af,20010980,USDC,155454071022,0,622160,9.422740049
0xbf0534e9cd0393e95a46a2bcc8f17a305c10600ad98bfcca94c46de41ab5b600,20010981,USDC,515880802405,0,534614,9.294682342
0x19a00e6202532a28df759701fc7dfb91d4b96eb50e8e9ae2bea412a0ec9dd1d7,20010985,USDC,130014507908,0,464226,12.024881119
0xe28837345ab3595f5d89af11d44fabe096f938c2480b725d3ec00c9d1067dfe1,20011007,USDC,327768440365,0,898177,9.127702233
0xc443a5eeecd987817eff68029c61d67aa14cf425778a4764a9b3d869fe8ec4b0,20011007,USDT,327724630474,0,906828,9.127702233
0x6b077b28782268b25e3422c2c67c083a48449857ee2bcee7ef35a593ec5f7439,20011152,DAI,1449365747281618668728022,0,889602,8.684867395
0x40b387d7d00697f1ed51e871f7ca44cdb623512dd708ddc87bcb74d22bf69d65,20011816,DAI,85998752862864037553815,0,1425048,15.34061314
0xb51fe71dfc9ff7722b9e6807a8733160592abc6c522dae1ad094c0295e5c84d9,20011975,USDC,5974965213,0,1106769,23.28433217
0x792c9297aec7eba6d9a8c1978f61e35afb16f0a5466c5d2766101b983ddd39c3,20012618,DAI,49266700458084219482335,0,1338749,12.455851576
0xe2909bcaa0c3da9548300950be2910c473c342c668e27d80cc2b1167b4f823e9,20012727,DAI,62095556812562128437248,0,448134,11.82377633
0x133c73b53d981bcb1f5eba313894fd56f7f085068602ad98515a973296f37c8f,20012901,USDT,0,100000000000,1242098,11.833786832
0x133c73b53d981bcb1f5eba313894fd56f7f085068602ad98515a973296f37c8f,20012901,USDT,100000000000,0,1242098,11.833786832
0xa0984e493445e2a012548d791c9f4ae735531c8f190e99cb2dc8552d1bc668ef,20013413,USDC,5597581774,0,1103924,9.334929211
0x9ac713f82db25e4fbe877549bb616b9e8d2a6d781d81935459a456fa9fbb3f69,20013451,USDC,300091640903,0,412211,9.830510221
0x17fe08ae46d182b7ea11b5208fb7bdd192eecce1ebd7cefab804a3bb864aad07,20013873,DAI,81925101459935711985664,0,646022,35.252486191
0xf382e1afe1c2c7e2c4819a4ba81d828180e39541e929bf894044210f31126be3,20013890,DAI,89081460329569769750528,0,644638,54.765255187
0x5f7e3d3e433b1852eea5484f0e249689783d6f5d60bc4f127ad54ace28a8dea5,20014711,DAI,8232935514050766426603,2284184234704326535,857524,6.029483243
0x5f7e3d3e433b1852eea5484f0e249689783d6f5d60bc4f127ad54ace28a8dea5,20014711,DAI,8232935514050766426603,0,857524,6.029483243
0x0e61bce0d8e2f9732ddf41df86ce35e09325d5b2937548dd60883be18a70ca40,20014727,USDT,60689400556,0,859386,7.338168097
0x3b86c5364047c0b1426ced1c09739c83fd3e0511c028cd5072f0b850a2462074,20014823,USDC,13128201298759,0,570969,5.721183533
0x600c6309b81f41bbc076e449c52bfed5f027735be996c0d30b4b7b25d0f7370f,20014914,DAI,4182614193503770533102,0,1426691,6.273629072
0x5ae697524ec01efadfe539d13aa8e0c7484fc2eee4bf159d14d4480aff0f6d57,20015071,USDC,1570996431022,0,398980,5.356582761
0x298377acb55ee5c9228cd27c57da427ea3def0f801dc5e8c869e825a5bc07472,20015071,USDC,1171452023753,0,516437,5.356582761
0xf4a61eaae98f6132d6948924db7bdba25c31bdaf04e10d51f919dac3de426cc5,20015287,USDC,1586577261,114221774358720925914,258102,6.303631057
0xf4a61eaae98f6132d6948924db7bdba25c31bdaf04e10d51f919dac3de426cc5,20015287,USDC,1586577261,0,258102,6.303631057
0x95ccff1763138433a155c8946bdad0c3068558ccc3e90a0bbbb7107128c08813,20015545,USDC,141729145080,0,460033,15.12035713
0xd769c519ca3b7f05678ed3d0cdb6ec1da2b4312183b00a6d0f0bc54c4d8889a5,20015663,USDC,221647258687,0,733484,46.647126229
0xe21f1033cef3b2bea3940f7c4eb9d63614153b4413827256101fe73541f9bff9,20016022,USDC,1309996148502,0,402843,6.539742595
0xea2f7850383b49f7965c6f236db68e87b7e26c0b8966a02fb52b0123d0109342,20016022,USDC,1365628735757,0,513890,6.539742595
0x8da88b3e289005662507be2272d97775abdc72afbc582411cc035e9871abefb3,20016202,DAI,245300438614624338429,255112456159209311966,543240,4.497380316
0x8da88b3e289005662507be2272d97775abdc72afbc582411cc035e9871abefb3,20016202,DAI,245300438614624338429,0,543240,4.497380316
0xde364355cb4c5d25c1f1abaebb0ea807a5f086744cf4e6525dc155bbcb2c812d,20016392,DAI,68832092915148218720786,0,1422004,5.182681126
0x34d69aadfbd4a09b577da10a0b68ffdf2f903c5b0f33f9553740a619f68610d6,20016537,USDC,5337663479310,0,417258,7.723607941
